Country,Country Abbreviation,Year,Average annual working hours per worker
Argentina,ARG,2016,1691.5363
Australia,AUS,2016,1734.215
Austria,AUT,2016,1609.3523
Bangladesh,BGD,2016,2232.3542
Belgium,BEL,2016,1545.8151
Brazil,BRA,2016,1709.4856
Bulgaria,BGR,2016,1643.5475
Cambodia,KHM,2016,2455.5508
Canada,CAN,2016,1702.9673
Chile,CHL,2016,1974
China,CHN,2016,2174.3501
Colombia,COL,2016,1997.748
Costa Rica,CRI,2016,2212.3835
Croatia,HRV,2016,1834.9327
Cyprus,CYP,2016,1783.5206
Czechia,CZE,2016,1778.3971
Denmark,DNK,2016,1408.9635
Ecuador,ECU,2016,1701.3558
Estonia,EST,2016,1855.1993
Finland,FIN,2016,1634.7594
France,FRA,2016,1502.7285
Germany,DEU,2016,1358.5865
Greece,GRC,2016,2030.0905
Hong Kong,HKG,2016,2185.5789
Hungary,HUN,2016,1937.3325
Iceland,ISL,2016,1493.3651
India,IND,2016,2117.0117
Indonesia,IDN,2016,2024.287
Ireland,IRL,2016,1738.7294
Israel,ISR,2016,1920.6106
Italy,ITA,2016,1724.4153
Japan,JPN,2016,1742
Latvia,LVA,2016,1902.4856
Lithuania,LTU,2016,1885.0089
Luxembourg,LUX,2016,1519.5106
Malaysia,MYS,2016,2238.2729
Malta,MLT,2016,2031.9048
Mexico,MEX,2016,2255
Myanmar,MMR,2016,2437.8633
Netherlands,NLD,2016,1436.729
New Zealand,NZL,2016,1752
Nigeria,NGA,2016,1827.2401
Norway,NOR,2016,1429.0883
Pakistan,PAK,2016,2096.1443
Peru,PER,2016,1932.4581
Philippines,PHL,2016,2148.5645
Poland,POL,2016,2050.3591
Portugal,PRT,2016,1864.5854
Romania,ROU,2016,1792.7908
Russia,RUS,2016,1974
Singapore,SGP,2016,2252.5857
Slovakia,SVK,2016,1740.0107
Slovenia,SVN,2016,1666.9202
South Africa,ZAF,2016,2209.0916
South Korea,KOR,2016,2063.3315
Spain,ESP,2016,1701.3669
Sri Lanka,LKA,2016,1923.9354
Sweden,SWE,2016,1626.4591
Switzerland,CHE,2016,1589.6758
Taiwan,TWN,2016,1989.1476
Thailand,THA,2016,2185.4456
Turkey,TUR,2016,1832
United Kingdom,GBR,2016,1668.3876
United States,USA,2016,1760.796
Uruguay,URY,2016,1552.347
Vietnam,VNM,2016,2169.5916
Argentina,ARG,2017,1691.5363
Australia,AUS,2017,1731.4943
Austria,AUT,2017,1613.0519
Bangladesh,BGD,2017,2232.3542
Belgium,BEL,2017,1544.269
Brazil,BRA,2017,1709.4856
Bulgaria,BGR,2017,1643.5475
Cambodia,KHM,2017,2455.5508
Canada,CAN,2017,1696.4624
Chile,CHL,2017,1974
China,CHN,2017,2174.3501
Colombia,COL,2017,1997.748
Costa Rica,CRI,2017,2212.3835
Croatia,HRV,2017,1834.9327
Cyprus,CYP,2017,1783.5206
Czechia,CZE,2017,1776.162
Denmark,DNK,2017,1400.3815
Ecuador,ECU,2017,1701.3558
Estonia,EST,2017,1856.6827
Finland,FIN,2017,1659.2806
France,FRA,2017,1514.1371
Germany,DEU,2017,1353.8868
Greece,GRC,2017,2016.8954
Hong Kong,HKG,2017,2185.5789
Hungary,HUN,2017,1937.3325
Iceland,ISL,2017,1493.3651
India,IND,2017,2117.0117
Indonesia,IDN,2017,2024.287
Ireland,IRL,2017,1745.6843
Israel,ISR,2017,1920.6106
Italy,ITA,2017,1722.6113
Japan,JPN,2017,1738.3633
Latvia,LVA,2017,1874.5979
Lithuania,LTU,2017,1844.0171
Luxembourg,LUX,2017,1518.8575
Malaysia,MYS,2017,2238.2729
Malta,MLT,2017,2040.0317
Mexico,MEX,2017,2255
Myanmar,MMR,2017,2437.8633
Netherlands,NLD,2017,1430.0229
New Zealand,NZL,2017,1752
Nigeria,NGA,2017,1827.2401
Norway,NOR,2017,1417.4723
Pakistan,PAK,2017,2096.1443
Peru,PER,2017,1932.4581
Philippines,PHL,2017,2148.5645
Poland,POL,2017,2028.4952
Portugal,PRT,2017,1863.1744
Romania,ROU,2017,1805.9998
Russia,RUS,2017,1974
Singapore,SGP,2017,2237.7263
Slovakia,SVK,2017,1745.2307
Slovenia,SVN,2017,1655.089
South Africa,ZAF,2017,2209.0916
South Korea,KOR,2017,2063.3315
Spain,ESP,2017,1686.4973
Sri Lanka,LKA,2017,1923.9354
Sweden,SWE,2017,1609.2896
Switzerland,CHE,2017,1589.6758
Taiwan,TWN,2017,1990.3212
Thailand,THA,2017,2185.4456
Turkey,TUR,2017,1832
United Kingdom,GBR,2017,1670.2728
United States,USA,2017,1757.2255
Uruguay,URY,2017,1552.347
Vietnam,VNM,2017,2169.5916
