Subject Name,University Name,Per Year Fees,About Program,Program Duration,University Location,Program Name
Data Science,Marquette University,"19,714 EUR / year","Data plays an ever-increasing role in today’s society and the increase in volume, velocity and variety of data has driven the demand in employees skilled in data science and analytics. You can learn this with the Data Science degree at Marquette University.",2 years,Online,"Master / Full-time, Part-time / Online"
Data Science,Fairfield University,"25,880 EUR / year",Fairfield University's Master of Science in Data Science program teaches the real-world skills needed to succeed in this interdisciplinary field that extracts knowledge and insights from data in structured and unstructured forms. ,1 year,"Fairfield, Connecticut, United States","M.Sc. / Full-time, Part-time / On Campus"
Data Science,University of Wisconsin - Stevens Point,"16,990 EUR / year","With the potential to impact nearly every sector of the global economy, data science is emerging as one of the fastest-growing professions of the 21st century. A UW Master of Science in Data Science or Graduate Certificate in Data Science at University of Wisconsin - Stevens Point can be the foundation for a variety of lucrative occupations.",2 years,Online,M.Sc. / Part-time / Online
Data Science,Wentworth Institute of Technology,"36,537 EUR / year","Our MS in Data Science program at Wentworth Institute of Technology will prepare you for a career in data science. Our global society produces an unprecedented amount of data. Companies and researchers in a diverse range of fields, including biomedical sciences, financial services and marketing, are seeking experts who can make the most of this data revolution. ",1 year,"Boston, Massachusetts, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Computer Science - Big Data Systems,Arizona State University,"26,655 EUR / year",The Computer Science - Big Data Systems MSc program from Arizona State University is designed for graduate students who want to pursue a thorough education and research in the area of big data systems. ,1 year,"Tempe, Arizona, United States",M.Sc. / Full-time / On Campus
Data Science,The University of Alabama at Birmingham,"32,856 EUR / year","As a data scientist, you'll be using math, statistics, and programming skills to organize information and help businesses find solutions. Earning a master's in Data Science from The University of Alabama at Birmingham can help prepare you for a career as a software engineer, systems analyst, database administrator, research analyst, and more.",1 year,"Birmingham, Alabama, United States",M.Sc. / Full-time / On Campus
Health Data Science,Saint Louis University,"18,130 EUR / year","Health Data Science from Saint Louis University is designed to prepare students for a career in today's data-driven health care industry. Successful data scientists possess an artful ability to blend, synthesize and communicate data for use in clinical decisions by patients and providers, as well as advancing quality improvement efforts across health systems.",2 years,"Saint Louis, Missouri, United States",M.Sc. / Full-time / On Campus
Data Science and Analytics,College of Charleston,"17,933 EUR / year",The Data Science and Analytics program at College of Charleston is designed for individuals who want to become leaders in the rapidly evolving world of data science.,1 year,"Charleston, South Carolina, United States",Master / Full-time / On Campus
Data Science,Southern Methodist University,"31,129 EUR / year","This Data Science MSc degree from Southern Methodist University is designed for current and aspiring data science professionals looking to 
gain the advanced skills needed to manage, analyze, mine and understand 
complex data to make strategic decisions in their organizations","1 year, 8 months",Online,M.Sc. / Part-time / Online
Cybersecurity- Data Science (Online),La Salle University,"14,047 EUR / year",Cybersecurity- Data Science (Online) is offered by La Salle University. Advance your understanding of network theory and digital forensics with the online Master of Science in Cybersecurity with a Concentration in Data Science from La Salle University. ,2 years,Online,M.Sc. / Part-time / Online
Applied Statistics and Data Science,Azusa Pacific University,"11,012 EUR / year","Elevate your analytical prowess with Azusa Pacific University's Applied Statistics and Data Science MS program. Uncover insights from data, master statistical methods, and transform information into actionable strategies.",2 years,"Pacific, Missouri, United States","M.Sc. / Full-time, Part-time / On Campus"
Data Science Online,University of West Florida,"14,449 EUR / year","The University of West Florida’s Master of Science in Data Science Online provides you with the tools to bridge data science with disciplines such as information technology, computer science, environmental science, business and healthcare. ",2 years,Online,M.Sc. / Part-time / Online
Bioinformatics and Biological Data Science,Temple University,"45,062 EUR / year","The Bioinformatics and Biological Data Science at Temple University will help you develop expertise in the various software tools that help you identify, interpret and analyze biological data.",1 year,"Philadelphia, Pennsylvania, United States",Master / Full-time / On Campus
Data Science and Engineering - Data Engineering Option,Auburn University,"31,285 EUR / year","The Master of Science in Data Science and Engineering - Data Engineering Option from Auburn University program, offered on campus and online, prepares students to pursue careers in data science and engineering, where valuable insights are derived from massive amounts of raw data.",1 year,"Auburn, Alabama, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Science,Western Michigan University,"17,696 EUR / year",At Data Science from Western Michigan University half of the coursework for the degree consists of graduate courses in computer science while the other half consists of graduate courses in statistics.,2 years,"Kalamazoo, Michigan, United States",M.Sc. / Full-time / On Campus
Data Science,University of Miami,"33,506 EUR / year","Launched this year but built on more than a decade of investments in computing infrastructure and expertise, University of Miami's Institute for Data Science and Computing is positioning the University at the core of the data revolution.",2 years,"Miami, Florida, United States",M.Sc. / Full-time / On Campus
Data Science,University of San Francisco,"52,153 EUR / year",The Data Science degree at University of San Francisco delivers a rigorous curriculum focused on mathematical and computational techniques in the emerging field of data science. ,1 year,"San Francisco, California, United States",M.Sc. / Full-time / On Campus
Spatial Data Science,Pennsylvania State University,"22,518 EUR / year","Learn to create novel solutions that leverage vast amounts of spatial data to solve location-based challenges. This online master’s degree program in Spatial Data Science at
Pennsylvania State University offers unmatched depth and breadth in spatial data science and will help you seize new opportunities in geospatial science and industry.",1 year,Online,M.Sc. / Part-time / Online
Data Science,American University Washington DC,"31,920 EUR / year","Data Science from American University Washington DC prepares students to acquire, process, analyze, and present complex data. Students will master both the theoretical knowledge and practical skills used by data scientists in academia, industry, and government. ",1 year,"Washington, D. C., Washington, D.C., United States",M.Sc. / Full-time / On Campus
Data Science,George Washington University,"53,975 EUR / year","Data Science is an emerging field that aims to extract actionable insights from vast arrays of information. Drawing on techniques and theories from statistics, computer science and mathematics, the program offered by George Washington University focuses on the effective analysis and use of large data in the natural and social sciences.",1 year,"Washington, D. C., Washington, D.C., United States",M.Sc. / Full-time / On Campus
Data Science,Monmouth University,"38,724 EUR / year","At Data Science at Monmouth University you will study computer science, statistics, machine learning, data visualization and other relevant interdisciplinary areas that will position you as a leader in this cutting-edge field. ",1 year,"West Long Branch, New Jersey, United States",M.Sc. / Full-time / On Campus
Data Science and Analytics,Grand Valley State University,"25,310 EUR / year","The Data Science and Analytics (M.S.) degree at Grand Valley State University provides students with the fundamental analytics background necessary to work with big and complex data sets in any discipline. It also allows a statistics or computing student to gain additional cross-disciplinary background, or for a student of any discipline to develop skills to solve data-intensive problems. ",1 year,"Allendale, Michigan, United States",M.Sc. / Full-time / On Campus
Data Science (Online),University of Denver,"11,899 EUR / year","The Data Science (Online) program of the University of Denver is designed to prepare analytically minded students to build and use data to make critical decisions. The program is led by a faculty of top researchers, offering the same exceptional learning experience as the on-campus program.",1½ year,Online,M.Sc. / Part-time / Online
Applied Data Science,Eastern Connecticut State University,"19,763 EUR / year",Applied Data Science from Eastern Connecticut State University is an engaging career path for those seeking to be leaders in a fast-paced world where information and technology are changing the ability for organizations to be more strategic in their operations.,1 year,Online,M.Sc. / Part-time / Online
Introduction to Data Science (Online),Drexel University,"19,320 EUR / year","This Introduction to Data Science (Online) program from Drexel University provides basic skills in Python programming, exploratory data analytics using R, and more to ensure you complete the certificate with a well-rounded introduction to data science.",1 year,Online,Postgraduate Certificate / Part-time / Online
Statistical Data Science,San Francisco State University,"8,047 EUR / year","The Statistical Data Science MSc program offered at San Francisco State University delivers a comprehensive curriculum in the fields of statistics and data science to prepare students with diverse backgrounds (including statistics, mathematics, computer science, engineering, and other quantitative fields) for the data science workforce or a doctoral program.",1 year,"San Francisco, California, United States",M.Sc. / Full-time / On Campus
Statistical Data Science,San Francisco State University,"8,047 EUR / year","The Statistical Data Science MSc program offered at San Francisco State University delivers a comprehensive curriculum in the fields of statistics and data science to prepare students with diverse backgrounds (including statistics, mathematics, computer science, engineering, and other quantitative fields) for the data science workforce or a doctoral program.",1 year,"San Francisco, California, United States",M.Sc. / Full-time / On Campus
Statistics and Data Science (Certificate NDP),The University of Arizona,"31,370 EUR / year","The mission of the Statistics and Data Science (Certificate NDP) program from The University of Arizona is to develop the next generation of data scientists, trained to meet the challenges of modern interdisciplinary data extraction, analysis, and interpretation. ",,"Tucson, Arizona, United States","Postgraduate Certificate / Full-time, Part-time / Online, On Campus"
Statistics and Data Science,University of Pennsylvania,,"The Statistics and Data Science  program of University of Pennsylvania studies the emerging discipline of data science that has become essential to making decisions, understanding observations, and solving problems in today’s world. ",1 year,"Philadelphia, Pennsylvania, United States",M.B.A. / Full-time / On Campus
Statistics and Data Science,University of Pennsylvania,,"The Statistics and Data Science program of University of Pennsylvania studies the emerging discipline of data science that has become essential to making decisions, understanding observations, and solving problems in today’s world. ",1 year,"Philadelphia, Pennsylvania, United States",M.A. / Full-time / On Campus
Data Science,Fordham University,"45,865 EUR / year","Data Science from Fordham University is a STEM-designated program that promotes innovative thinking through its interdisciplinary curriculum, provides advanced theoretical and technical skills to build computational models, and encourages students to engage in state-of-the-art research with internationally recognized faculty.",1 year,"Manhattan, New York, United States",M.Sc. / Full-time / On Campus
Computational Data Science (Mathematics),Indiana University - Purdue University Indianapolis,"29,230 EUR / year",The Master of Science degree in Computational Data Science (Mathematics) is a Indiana University - Purdue University Indianapolis degree offered in the Department of Computer and Information Sciences.,1 year,"Indianapolis, Indiana, United States",M.Sc. / Full-time / On Campus
Data Science and Engineering,"University of California, San Diego","26,362 EUR / year","In the Data Science and Engineering program from the University of California, San Diego, engineering professionals combine the skills of software programmer, database manager, and statistician to create mathematical models of the data, identify trends/deviations, then present them in effective visual ways that can be understood by others.",2 years,"San Diego, California, United States",Master / Full-time / On Campus
Computer Science - Data Science,Oral Roberts University,"14,698 EUR / year",Master of Science in Computer Science - Data Science from Oral Roberts University is a comprehensive and professionally-oriented program that will prepare and equip you to step into a high-level position within a multitude of fields.,1 year,"Oklahoma City, Oklahoma, United States",M.Sc. / Full-time / On Campus
"Interdisciplinary Data Science, Mathematics",Florida State University,"20,501 EUR / year","Dive into the realm of data science and mathematics with Florida State University's Interdisciplinary Data Science, Mathematics MS program. This dynamic program combines advanced mathematical theory with practical data analysis techniques, equipping students with the skills to tackle complex real-world problems in diverse fields such as finance, healthcare, and technology.",1 year,"Tallahassee, Florida, United States",M.Sc. / Full-time / On Campus
Computer Science - Big Data Systems,Arizona State University,"26,655 EUR / year","The goal of this Computer Science - Big Data Systems MSc program from Arizona State University is to provide students the knowledge, skills and the advanced research expertise in designing scalable systems for acquiring, storing, processing, and accessing large-scale heterogeneous multi-source data and in using analytical tools to mine information from the data. ",1 year,"Tempe, Arizona, United States","Master / Full-time, Part-time / Online, On Campus"
Health Data Science,University of Michigan,"50,794 EUR / year",Health Data Science at the University of Michigan is rated the top biostatistics program in the country by the National Academies. ,"1 year, 8 months","Ann Arbor, Michigan, United States",M.Sc. / Full-time / On Campus
Data Science,University of Colorado at Boulder,"21,214 EUR / year",The online Master of Science degree in Data Science (MS-DS) on Coursera is an interdisciplinary degree program offered through the University of Colorado at Boulder and hosted online through Coursera’s learning platform. ,,Online,M.Sc. / Part-time / Online
Data Science,University of Texas at Austin,"11,899 EUR / year",The Data Science MSc program offered at University of Texas at Austin gives students the foundational knowledge in statistical theory while preparing them to apply their skills in the computer science realm.,1½ year,Online,M.Sc. / Part-time / Online
Data Analytics (Online),Northern Illinois University,"25,050 EUR / year","The Master of Science in Data Analytics (Online) degree at Northern Illinois University is an intensive, 100 percent online program that will prepare you for the fastest-growing jobs in data science and data analytics.",1 year,Online,M.Sc. / Part-time / Online
Applied Data Science,Clarkson University,"33,049 EUR / year","On-site or online, the Master of Science (MS) in Applied Data Science program from Clarkson University provides you with the skills to be an effective data professional in a rapidly growing field.",1 year,"Potsdam, New York, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Science,Florida International University,"16,635 EUR / year","The MS in Data Science at
Florida International University is an interdisciplinary degree program designed to provide studies in scientific methods, processes and system to extract knowledge or insights from data in various forms.",1 year,"Miami, Florida, United States",M.Sc. / Full-time / On Campus
Computer Science - Data Science,Fitchburg State University,"5,763 EUR / year",The Master's Degree Program in Computer Science - Data Science offered by Fitchburg State University provides an opportunity for graduate students to obtain competitive skills and knowledge to succeed as computer scientists in the constantly developing high-technology marketplace.,2 years,"Fitchburg, Massachusetts, United States","M.Sc. / Full-time, Part-time / Blended"
Data Science and Analytics,State University of New York Polytechnic Institute,"21,950 EUR / year",Data Science and Analytics at the State University of New York Polytechnic Institute is a hybrid program with courses offered on-campus and online dependent upon your specialization interests.,1 year,"Utica, New York, United States",M.Sc. / Full-time / Blended
Applied Statistics and Data Science,The University of Texas Rio Grande Valley,"10,107 EUR / year",The University of Texas Rio Grande Valley offers a Master of Science (MS) in Applied Statistics and Data Science.,1 year,"Texas City, Texas, United States",M.Sc. / Full-time / On Campus
"Science of Psychology, Data, and Research in Education",University of Oklahoma,"30,234 EUR / year","The University of Oklahoma offers the Science of Psychology, Data, and Research in Education MS program, providing students with a comprehensive education in the field of educational psychology, research methods, and data analysis.",1 year,"Norman, Oklahoma, United States",M.Sc. / Full-time / On Campus
Big and Smart Data Sciences,Wright State University,"22,802 EUR / year",The Department of Computer Science and Engineering from Wright State University offers a program of graduate study leading to the Education Certificate in Big and Smart Data Sciences.,,"Dayton, Ohio, United States",Postgraduate Certificate / Full-time / On Campus
Computational Data Science (Computer and Information Science),Indiana University - Purdue University Indianapolis,"29,230 EUR / year",The Master of Science degree in Computational Data Science (Computer and Information Science) is a Indiana University - Purdue University Indianapolis degree offered in the Department of Computer and Information Sciences.,1 year,"Indianapolis, Indiana, United States",M.Sc. / Full-time / On Campus
Survey and Data Science,University of Michigan,"50,794 EUR / year","Survey and Data Science from University of Michigan attracts a diverse cohort each year — students who have just completed undergraduate degrees, professionals who work in a survey data or data science field, or those who simply have a passion for this exciting discipline.  ",2 years,"Ann Arbor, Michigan, United States",M.Sc. / Full-time / On Campus
Data and Information Sciences,University of Texas El Paso,"16,174 EUR / year",The Master of Science in Data and Information Sciences program at University of Texas El Paso combines graduate education in computer science and business management.,1 year,"El Paso, Texas, United States",M.Sc. / Full-time / On Campus
Computational and Data Sciences,Chapman University,"25,673 EUR / year","Computational and Data Sciences graduates at Chapman University construct mathematical models, develop quantitative analysis techniques, and use computers to analyze and solve scientific real-life problems.",2 years,"Los Angeles, California, United States",M.Sc. / Full-time / On Campus
Data Science,Saint Mary's College,"12,373 EUR / year","At this Data Science program offered by Saint Mary's College, you'll develop a strong mathematical base - an enduring skill set in an ever-changing world - that will allow you to take on complex data challenges now and in the future, no matter what programming language you're using.",2 years,Online,M.Sc. / Part-time / Online
"Data Science, Analytics and Engineering (Electrical Engineering)",Arizona State University,"26,655 EUR / year","The Data Science, Analytics and Engineering (Electrical Engineering) program from Arizona State University is designed for graduate students who want to pursue a thorough education and research in the area of big data systems. ",1 year,"Tempe, Arizona, United States",M.A. / Full-time / On Campus
"Data Science, Analytics and Engineering (Bayesian Machine Learning)",Arizona State University,"26,655 EUR / year","The Data Science, Analytics and Engineering (Bayesian Machine Learning) program from Arizona State University is designed for graduate students who want to pursue a thorough education and research in the area of big data systems. ",1 year,"Tempe, Arizona, United States",Master / Full-time / On Campus
"Data Science, Analytics and Engineering (Computing and Decision Analytics)",Arizona State University,"26,655 EUR / year","The Data Science, Analytics and Engineering (Computing and Decision Analytics) program from Arizona State University is designed for graduate students who want to pursue a thorough education and research in the area of big data systems. ",1 year,"Tempe, Arizona, United States",M.A. / Full-time / On Campus
"Data Science, Analytics and Engineering (Human-Centered Applications)",Arizona State University,"26,655 EUR / year","The Data Science, Analytics and Engineering (Human-Centered Applications) program from Arizona State University is designed for graduate students who want to pursue a thorough education and research in the area of big data systems. ",1 year,"Tempe, Arizona, United States",M.A. / Full-time / On Campus
Data Science and Analytics,Duke University,"28,888 EUR / year","Students interested in MS focus on Data Science and Analytics at Duke University are recommended to take all of the MSS core first year courses, with a particular focus on those emphasizing modeling and computation.",2 years,"Durham, North Carolina, United States",M.Sc. / Full-time / On Campus
Data Science and Analytics,Clarion University of Pennsylvania,"19,165 EUR / year",The Data Science and Analytics program is offered by Clarion University of Pennsylvania.,1 year,Online,M.Sc. / Part-time / Online
Data Science and Analytics,Claremont Graduate University (CGU),"67,095 EUR / year",The MS in Information Systems & Technology with a concentration in Data Science and Analytics from Claremont Graduate University (CGU) explores the ways massive volumes of data can be used to enhance human performance and solve business and societal problems.,1 year,"Claremont, California, United States","M.Sc. / Full-time, Part-time / On Campus"
Biostatistics and Data Science,Medical College of Wisconsin,"22,385 EUR / year",Master of Arts program in Biostatistics and Data Science at Medical College of Wisconsin will provide students with good theoretical background expected from a professional biostatistician and will equip them with a set of analytical skills used in data science. ,1½ year,"Milwaukee, Wisconsin, United States",M.A. / Full-time / On Campus
Statistics and Data Science,The University of Arizona,"31,370 EUR / year","The mission of the Statistics and Data Science at The University of Arizona is to develop the next generation of data scientists, trained to meet the challenges of modern interdisciplinary data extraction, analysis, and interpretation. ",1 year,"Tucson, Arizona, United States",M.Sc. / Full-time / On Campus
Biostatistics and Data Science,Washington University in St. Louis,"56,974 EUR / year",The Master of Science in Biostatistics and Data Science (MSBDS) is offered by the Division of Biostatistics in the School of Medicine at Washington University in St. Louis.,1½ year,"Saint Louis, Missouri, United States",M.Sc. / Full-time / On Campus
Statistics and Data Science,"University of Nevada, Reno","20,988 EUR / year","The M.S. and Ph.D. programs in Statistics and Data Science from University of Nevada, Reno  is designed to provide training in fundamental methods and concepts of modern Statistics focused on extracting knowledge from data. ",2 years,"Reno, Nevada, United States",M.Sc. / Full-time / On Campus
Data Science,Stevens Institute of Technology,"39,663 EUR / year","The Data Science master’s program at Stevens Institute of Technology instills the theoretical knowledge and practical skills required for dealing with the contemporary collection, exploration, analysis, and modeling of data along with the related challenges pertaining to inference and prediction.",1 year,"Hoboken, New Jersey, United States",Master / Full-time / On Campus
Applied Mathematics and Data Science,University of Wisconsin Stout,"25,714 EUR / year","Help business and industry solve problems through statistical analysis, modeling, data analysis and computation. University of Wisconsin Stout offers a Master's degree in Applied Mathematics and Data Science. ",1 year,"Menominee, Wisconsin, United States",M.Sc. / Full-time / On Campus
Biological Data Science,Arizona State University,"26,655 EUR / year",The Biological Data Science MSc program from Arizona State University provides students with real-world training at the interface of the natural and mathematical sciences. ,1 year,"Peoria, Arizona, United States",M.Sc. / Full-time / On Campus
Data Analytics and Computational Social Science,University of Massachusetts Amherst,"32,031 EUR / year",The Data Analytics and Computational Social Science program of the University of Massachusetts Amherst is an interdisciplinary degree program designed to train students to fill roles that require cutting edge data analysis and computational social science training and/or involve regular interaction with trained computer scientists and other data science professionals.,1 year,"Amherst Center, Massachusetts, United States","M.Sc. / Full-time, Part-time / On Campus"
Survey and Data Science,University of Maryland,"24,981 EUR / year","The online Survey and Data Science program from University of Maryland, will provide post-baccalaureate training for individuals interested in broadening their knowledge and understanding of the emerging field of data science, the conduct of sample surveys, practical applications of data analysis and survey methodology, and data management, along with the skills needed to communicate results.",2 years,Online,Master / Part-time / Online
Computer Information Science- Data Science (Online),La Salle University,"14,047 EUR / year",Computer Information Science- Data Science (Online) is offered by La Salle University. Master software application and engineering methods to solve real-world problems in our online Master of Science in Computer Information Science with a Concentration in Data Science. ,2 years,Online,M.Sc. / Part-time / Online
Biomedical Data Science,University of Wisconsin Madison,"23,600 EUR / year",The University of Wisconsin Madison offers a master degree in Biomedical Data Science. The current explosion of biomedical data provides an awesome opportunity to improve understanding of the mechanisms of disease and ultimately to improve human health care.,1 year,"Madison, Wisconsin, United States",M.Sc. / Full-time / On Campus
Information and Data Science,"University of California, Berkeley","42,599 EUR / year","The Information and Data Science program at the University of California, Berkeley brings UC Berkeley to students, wherever they are. ","1 year, 8 months",Online,Master / Part-time / Online
Geospatial Data Science,Temple University,"40,108 EUR / year",The Geospatial Data Science at Temple University will expand your expertise in geospatial analysis.,1 year,"Philadelphia, Pennsylvania, United States","Master / Full-time, Part-time / On Campus"
Data Science and Analytics,Clemson University,"34,987 EUR / year",The Masters of Science in Data Science and Analytics (DSA) is an online degree program developed cooperatively by Clemson University School of Mathematical and Statistical Sciences and Department of Management.,1 year,"Clemson, South Carolina, United States",M.Sc. / Full-time / On Campus
Business Data Analytics,West Virginia University,"22,697 EUR / year","The online Master of Science in Business Data Analytics, offered by the College of Business and Economics at West Virginia University, equips students to develop expertise in statistical techniques, data mining, utilizing databases, and analytical tools.",1 year,Online,M.Sc. / Part-time / Online
Data Science (Online),Eastern University,"9,134 EUR / year","Eastern University's MS in Data Science (Online) program is designed for students with all levels of experience, equipping you for a wide variety of interesting and in-demand careers.",1 year,Online,M.Sc. / Full-time / Online
Data Science,Maryville University,"27,403 EUR / year","Big data means big opportunities for you and your career. When you earn your online master’s in Data Science from Maryville University, you gain the credential you need to become a key player in a field that’s changing business and the world around us.",1 year,Online,Master / Part-time / Online
Data Science,Maryville University,"22,836 EUR / year","Big data means big opportunities for you and your career. When you earn your online master’s in Data Science from Maryville University, you gain the credential you need to become a key player in a field that’s changing business and the world around us.",1 year,"Saint Louis, Missouri, United States",Master / Full-time / On Campus
Graduate Pathway in Health Data Science - Health Data Science,Saint Louis University,"20,169 EUR / full",An INTO SLU Graduate Pathway in Health Data Science - Health Data Science will prepare you to enter your next semester of a master’s degree program at Saint Louis University.  ,½ year,"Saint Louis, Missouri, United States",Pre-Master / Full-time / On Campus
Data Science,Central Connecticut State University,"24,884 EUR / year","State-of-the-art Data Science at Central Connecticut State University modeling methodologies prepare graduates for careers in fraud detection, credit card scoring, and personal profile marketing.",1 year,Online,M.Sc. / Part-time / Online
Dual Degree in Statistics and Data Science,George Washington University,"32,385 EUR / year",The Dual Degree in Statistics and Data Science at George Washington University works in conjunction with the Department of Data Science to offer a dual master of science in the field of statistics and graduate certificate in data science degree program.,2 years,"Washington, D. C., Washington, D.C., United States",M.Sc. / Full-time / On Campus
Business Data Science and Analytics,Michigan State University,"35,983 EUR / year","The Master of Science degree in Business Data Science and Analytics  from Michigan State University addresses the study, research, and application of analytics. Its focus is on business analytics, the use of data in various forms and often large sets to make optimal business decisions.",1 year,"East Lansing, Michigan, United States",M.Sc. / Full-time / On Campus
Statistics and Data Science,The University of Texas at San Antonio,"26,094 EUR / year","The Statistics and Data Science program of The University of Texas at San Antonio includes instruction in a broad range of statistical methods and computational tools to equip students to pursue careers as government, industrial, or academic statisticians, or to continue to doctoral study in statistics. ",1 year,"Helotes, Texas, United States",M.Sc. / Full-time / On Campus
Data Science Engineering,"University of California, Los Angeles (UCLA)","34,876 EUR / year","University of California, Los Angeles (UCLA) offers a Master of Science in Data Science Engineering that prepares students to solve problems and harness data ethically using responsible artificial intelligence through a curriculum of five core courses and four electives.",1 year,Online,M.Sc. / Part-time / Online
Data Architecture and Management,Northeastern University,"26,587 EUR / year","The MS in Data Architecture and Management at
Northeastern University goes beyond data collection and analysis. It addresses crucial activities, including data preparation, data curation, application integration, and data engineering based on the combination of use cases and integration persona.",2 years,"Boston, Massachusetts, United States","M.Sc. / Full-time, Part-time / On Campus"
Business Data Science and Analytics,Angelo State University,"27,325 EUR / year","Develop the critical skills you need to serve as a strong, effective leader and administrator with this master in Business Data Science and Analytics from Angelo State University.",1 year,"San Angelo, Texas, United States","M.Sc. / Part-time / Online, Blended"
Data Science (Online),Stevens Institute of Technology,"25,797 EUR / year","The M.S. in Data Science (Online) program at the Stevens Institute of Technology prepares students for careers in fintech, business intelligence and analytics, academia, and database management, as well as government positions requiring strong skills in data analysis.",2 years,Online,M.Sc. / Part-time / Online
Data Science and Analytics,Georgia State University,"41,519 EUR / year","The Data Science and Analytics MSc program is administered by Robinson’s Institute for Insight at Georgia State University, a collaborative community of graduate students, faculty members, researchers, entrepreneurs and industry partners, all focused on preparing students to walk confidently into the fast-changing world of big data analytics. ",1 year,"Atlanta, Georgia, United States","M.Sc. / Full-time, Part-time / On Campus"
Data Science for Chemical Engineering and Materials Science,University of Minnesota,"27,292 EUR / year",The M.S. in Data Science for Chemical Engineering and Materials Science degree from University of Minnesota bridges disciplinary expertise in chemical engineering and materials science with data and computational science. It aims to educate the next generation of chemical engineers and materials scientists that will be able to work seamlessly with digital technologies.,1 year,"Minneapolis, Minnesota, United States",M.Sc. / Full-time / On Campus
Statistics and Data Science - Accelerated Master's Program,The University of Arizona,"31,370 EUR / year","The Statistics and Data Science - Accelerated Master's Program offers interdisciplinary courses of study leading to the Master of Science (M.S.) Statistics and Data Science - Accelerated Master's program from The University of Arizona, along with a 12-unit Graduate Certificate.  ",1 year,"Tucson, Arizona, United States",M.Sc. / Full-time / On Campus
Data Science for Public Policy,Georgetown University,"50,704 EUR / year","A unique curriculum at the intersection of data science and quantitative public policy analysis, the Data Science for Public Policy program from Georgetown University equips graduates with cutting-edge computational, analytical, and leadership skills.",1 year,"Washington, D. C., Washington, D.C., United States",Master / Full-time / On Campus
Engineering - Data Analytics,University of Wisconsin Madison,"17,992 EUR / year","Become the engineer who confidently uses data science to transform big data into informed, high-impact actions with the Engineering - Data Analytics program at the University of Wisconsin Madison.",2 years,Online,M.Eng. / Part-time / Online
Computer Science (Data Science),Texas State University,"15,279 EUR / year",This Computer Science (Data Science) program from Texas State University provides students with the knowledge and skills to gain an edge in the computer science job market.,1 year,"San Marcos, Texas, United States",M.Sc. / Full-time / On Campus
Public Health Data Science,Temple University,"50,521 EUR / year",The Public Health Data Science at Temple University will develop your skills to become a public health data scientist and improve healthcare and population health.,1 year,"Philadelphia, Pennsylvania, United States","M.Sc. / Full-time, Part-time / On Campus"
Dual Degree in Applied Economics and Data Science,George Washington University,"37,783 EUR / year",The Dual Degree in Applied Economics and Data Science at George Washington University works in conjunction with the Department of Data Science to offer a dual master of science in the field of applied economics and graduate certificate in data science.,2 years,"Washington, D. C., Washington, D.C., United States",M.Sc. / Full-time / On Campus
"Interdisciplinary Data Science, Scientific Computing",Florida State University,"20,501 EUR / year","Embark on a journey of discovery at Florida State University with the Interdisciplinary Data Science, Scientific Computing MS program. This innovative program integrates cutting-edge techniques from data science and scientific computing, equipping students with the skills to analyze complex data sets, develop computational models, and solve real-world problems across diverse disciplines.",1 year,"Tallahassee, Florida, United States",M.Sc. / Full-time / On Campus
Public Health Data Science,University of Minnesota,"28,862 EUR / year","This innovative new Public Health Data Science MPH program at the University of Minnesota — one of only a handful such programs in the U.S. — equips students with the comprehensive skills required to help design, understand, implement, and analyze public health initiatives and campaigns.",2 years,"Minneapolis, Minnesota, United States",Master / Full-time / On Campus
Data Analytics and Visualization,Yeshiva University,"31,416 EUR / year","Data is the information economy’s fuel; like solar energy, it is a renewable resource that can benefit everyone at once without being diminished. In the Katz School’s M.S. in Data Analytics and Visualization at Yeshiva
University, you’ll learn to transform raw data into insightful output.",1 year,"New York City, New York, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Computer Science - Data Science,University of Southern California,"71,568 EUR / year","Requirements for graduation, course offerings, course availability, track offerings and any other degree requirements are subject to change. Students should consult with an academic advisor prior to registering for any classes. Apply to the Computer Science - Data Science MSc program offered at University of Southern California.",1 year,"Los Angeles, California, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Science,City University of Seattle,"26,448 EUR / full",The Master of Science in Data Science at City University of Seattle is designed to advance your knowledge and expertise in computer science and technology. This unique program offers the theoretical and the business knowledge you’ll need to propel your career forward.,,Online,M.Sc. / Part-time / Online
Data Analysis and Communication,Agnes Scott College,"28,925 EUR / year","In Agnes Scott’s Master of Science in Data Analysis & Communication, graduate students attain the knowledge and skills to become effective communicators and data-driven changemakers. You’ll pair data analysis with effective communication strategies to deliver answers to the most compelling questions.",1½ year,"Decatur, Texas, United States",M.Sc. / Full-time / Blended
Data Analytics,University of Illinois Springfield,"9,810 EUR / year","The Data Analytics degree at the University of Illinois Springfield aims at providing an interdisciplinary approach to data analytics that covers both the foundational mathematical knowledge of data science and the computational methods and tools for preprocessing, interpreting, analyzing, representing, and visualizing data sets. ",1 year,"Springfield, Illinois, United States",M.Sc. / Full-time / On Campus
